ID_REF  VALUE   PLIER
1552799_at      0.47906062      0.66668653
1552800_at      1.0712239       0.91798013
1552801_at      0.63526934      1.3267211
1552803_a_at    0.659016        0.01
1552804_a_at    0.75882137      0.81238097
1552806_a_at    0.9297159       0.99924517
1552807_a_at    1.7545264       1.3365691
1552808_at      0.7212071       0.3148696
1552809_at      0.9985659       1.2109187
1552811_at      0.6967669       0.92288786
1552812_a_at    1.0054531       0.8753534
1552813_at      0.7385438       1.5555156
1552814_a_at    0.52979994      0.5915296
1552816_at      1.0583811       1.5889024
1552818_a_at    0.35619068      0.31024835
1552819_at      0.4925226       0.602015
1552822_at      0.8904237       1.1439447
1552825_at      0.88841146      0.897355
1552826_at      0.83450973      0.67846435
1552827_s_at    0.4909467       1.1672521
1552828_at      0.506172        0.5504295
1552829_at      1.968712        1.4616565
1552830_at      0.9038031       0.80802816
1552833_at      0.38655958      1.464451
1552834_at      0.91637695      0.9687396
1552835_at      0.66517437      1.0504919
1552836_at      0.40659213      0.9805209
1552837_at      0.719713        0.42191568
1552839_at      0.6978014       0.97689134
1552841_s_at    0.36065027      1.1861638
1552842_at      0.30421665      0.21764
1552843_at      0.66417193      0.46363834
1552845_at      0.2726361       1.007732
1552846_s_at    0.9663412       1.153784
1552848_a_at    1.1849151       1.0979714
1552849_at      0.99273825      1.8774666
1552851_at      0.45933798      0.43728843
1552852_a_at    0.97880185      0.52285737
1552853_at      0.5830484       1.070346
1552854_a_at    0.600111        1.0934081
1552856_at      0.71403676      1.3023138
1552857_a_at    0.52433497      0.9330151
1552858_at      1.0006598       0.29941234
1552860_at      0.83356637      1.3220974
1552862_at      0.63204414      1.1852041
1552863_a_at    1.065637        1.0417356
1552865_a_at    0.2832722       1.1106944
1552867_at      1.3384756       1.2699338
1552868_at      0.9974569       0.70669943
1552870_s_at    0.7496258       0.28696287
1552872_at      0.9909097       1.2388618
1552873_s_at    0.4569196       1.0171947
1552875_a_at    0.8209341       0.58246845
1552876_at      0.493266        0.51905835
1552877_s_at    0.5668983       1.4004436
1552878_at      0.5473847       0.3318502
1552879_a_at    0.61095464      0.53183985
1552880_at      0.6008414       0.19976702
1552882_a_at    0.8663429       0.92866147
1552884_at      0.47224572      0.3688079
1552885_a_at    0.7502725       0.7790127
1552887_at      1.4504676       1.1717005
1552889_a_at    1.0681934       1.102336
1552890_a_at    0.4931731       0.94190884
1552892_at      0.47933173      1.0018642
1552893_at      0.7230006       0.5691452
1552895_a_at    0.67816097      0.50200725
1552897_a_at    0.8554614       0.7862369
1552898_a_at    0.37727183      0.796069
1552899_at      1.0950915       1.2024238
1552900_a_at    0.5164863       1.0220221
1552902_a_at    0.68709695      0.90318954
1552903_at      0.72790027      0.7951309
1552904_at      0.8436751       0.45502424
1552906_at      0.9590812       0.48821056
1552908_at      0.6321631       0.6329176
1552910_at      0.84511757      0.9661622
1552911_at      1.0342513       0.78086156
1552912_a_at    0.5570457       0.97683245
1552913_at      0.73951924      0.08559804
1552914_a_at    0.8786867       0.30993634
1552915_at      0.49737474      1.0778817
1552917_at      0.94436896      1.2290572
1552919_at      0.7444147       0.59153396
1552921_a_at    0.4669238       0.5829012
1552922_at      0.9588167       1.2805108
1552923_a_at    0.25606626      0.425537
1552924_a_at    0.4288673       0.40029675
1552925_at      0.6793303       0.62422985
1552927_at      0.8260021       0.49358806
1552928_s_at    0.4962704       0.5378239
1552929_at      0.4559731       0.8154898
1552930_at      1.0151856       1.2844565
1552931_a_at    1.2959973       1.0811863
1552932_at      0.37556878      0.51093054
1552933_at      0.5306997       0.90482813
1552935_at      0.49429002      1.0319437
1552937_s_at    0.8169751       0.8915595
1552938_at      0.74666375      1.1241261
1552939_at      0.73271936      0.25620416
1552940_at      0.37734303      1.0364131
1552942_at      1.0999755       1.0073484
1552943_at      1.2724478       1.1297723
